idx,var,xb,pdgx,gy,gloss_zh,gloss_en,dialect,form,family,subfamily,orth,transcription,ref,,
221,4,26,27,,虹,rainbow,BB,k(i)ong5,5,1,虹,kiaŋ⁵²,,,
222,4,26,27,,虹,rainbow,LS,phiang k(i)ong5,5,2,pʰaŋ²² kaŋ²⁴,pʰaŋ²² kaŋ²⁴,,,
223,4,26,27,,虹,rainbow,PB,phiang k(i)ong5,5,2,pʰɛŋ⁵⁵ kɛŋ⁵²,pʰɛŋ⁵⁵ kɛŋ⁵²,,,
224,4,26,27,,虹,rainbow,QZ,thian1 k(i)ong5,5,3,天虹,tʰin⁵⁵ kɔŋ³³,,,
225,4,26,27,,虹,rainbow,BH,thian1 k(i)ong5,5,3,天虹,tʰin⁵⁵ kɔŋ³³,,,
226,4,26,27,,虹,rainbow,NM,hung2,1,1,虹,huŋ²¹,,,
227,4,26,27,,虹,rainbow,NN,k(i)ong5,5,1,虹,kɔŋ³³,,,
228,4,26,27,,虹,rainbow,NN_p,k(i)ong5,5,1,虹,kaŋ⁴⁵,,,
229,4,26,27,,虹,rainbow,FS_p,k(i)ong5 k(i)ong5 tong,5,4,虹 kaŋ⁵⁵ tɔŋ³¹,kaŋ³⁵ kaŋ⁵⁵ tɔŋ³¹,,,
230,4,26,27,,虹,rainbow,BS_p,k(i)ong5 k(i)ong5 ket,5,5,虹 kaŋ⁵⁵ kət³³,kaŋ⁴⁵ kaŋ⁵⁵ kət³³,,,
231,4,26,27,,虹,rainbow,BY,k(i)ong5,5,1,虹,tʃaŋ³⁵,,,
232,4,26,27,,虹,rainbow,HX,mang k(i)ong5,5,6,maŋ²² 虹,maŋ²² kaŋ⁵⁵,,,
233,4,26,27,,虹,rainbow,ZQ,lung2,4,1,龍,loŋ²¹,,,
234,4,26,27,,虹,rainbow,SH,lung2,4,1,龍,loŋ²¹,,,
235,4,26,27,,虹,rainbow,GN,lung2,4,1,龍,loŋ²¹,,,
236,4,26,27,,虹,rainbow,DQ,lung2,4,1,龍,loŋ³⁴²,,,
237,4,26,27,,虹,rainbow,HJ,hung2,1,1,虹,hoŋ²³¹,,,
238,4,26,27,,虹,rainbow,FK,on lung2,4,2,旱龍,ɔn²² loŋ²⁴,,,
239,4,26,27,,虹,rainbow,YF,lung2,4,1,龍,loŋ²¹,,,
240,4,26,27,,虹,rainbow,XX,lung2,4,1,龍,loŋ²²,,,
